URN,LA_name,EstablishmentName,PhaseOfEducation_name,NumberOfPupils,Postcode,Easting,Northing,MSOA_code,LSOA_code
113064,Devon,Cheriton Fitzpaine Primary School,Primary,77,EX17 4AN,287312,106369,E02004164,E01020077
113449,Devon,Chittlehampton Church of England Primary School,Primary,25,EX37 9QW,263569,125563,E02004187,E01020097
138733,Devon,Christow Primary School,Primary,102,EX6 7PE,283225,85094,E02004203,E01020273
113392,Devon,Chudleigh Church of England Community Primary School,Primary,423,TQ13 0LS,286775,79291,E02004204,E01020222
137666,Devon,Chudleigh Knighton Church of England Primary School,Primary,110,TQ13 0EU,284509,77456,E02004204,E01020223
137023,Devon,Chulmleigh Primary School,Primary,190,EX18 7AA,268834,114686,E02004188,E01020098
147492,Devon,Clawton Primary School,Primary,100,EX22 6QN,235354,98966,E02004228,E01020286
134641,Devon,Clyst Heath Nursery and Community Primary School,Primary,351,EX2 7QT,295722,91477,E02004159,E01033232
113065,Devon,Clyst Hydon Primary School,Primary,30,EX15 2ND,303568,101619,E02004134,E01019891
113066,Devon,Clyst St Mary Primary School,Primary,196,EX5 1BG,297438,90985,E02004142,E01019898
145766,Devon,Cockwood Primary School,Primary,100,EX6 8RB,297628,80575,E02004205,E01020229
113067,Devon,Colyton Primary School,Primary,171,EX24 6NU,324379,93889,E02004135,E01019899
145764,Devon,Combe Martin Primary School,Primary,189,EX34 0DF,257913,147207,E02004176,E01020099
113068,Devon,Copplestone Primary School,Primary,169,EX17 5NX,277195,102857,E02004173,E01020083
113409,Devon,Cornwood Church of England Primary School,Primary,74,PL21 9PZ,260645,59812,E02004190,E01020148
113079,Devon,Countess Wear Community School,Primary,358,EX2 7BS,294662,89626,E02004163,E01020012
113071,Devon,Culmstock Primary School,Primary,126,EX15 3JP,310115,114026,E02004166,E01020074
113394,Devon,Dartington Church of England Primary School,Primary,261,TQ9 6JU,278515,62342,E02004194,E01020150
113209,Devon,Decoy Primary School,Primary,445,TQ12 1DH,286915,70075,E02004215,E01020227
113197,Devon,Denbury Primary School,Primary,114,TQ12 6DP,282210,68881,E02004219,E01020193
142652,Devon,Diptford Parochial Church of England Primary School,Primary,74,TQ9 7NY,272801,56737,E02004194,E01020143
113198,Devon,Doddiscombsleigh Primary  School,Primary,36,EX6 7PR,285429,86683,E02004201,E01020274
145770,Devon,Dolton Church of England Primary School,Primary,35,EX19 8QF,256994,112053,E02004226,E01020303
147495,Devon,Drake's Church of England Primary School,Primary,100,EX9 7DQ,306661,84579,E02004145,E01019895
145347,Devon,Dunsford Community Academy,Primary,79,EX6 7DD,281164,89185,E02004203,E01020273
141287,Devon,East Allington Primary School,Primary,88,TQ9 7RE,276992,48323,E02004194,E01020142
113146,Devon,East Anstey Primary School,Primary,50,EX16 9JP,286770,126290,E02004188,E01020087
137025,Devon,East Worlington Primary School,Primary,46,EX17 4TS,277494,113744,E02004188,E01020098
113130,Devon,East-the-Water Community Primary School,Primary,452,EX39 4BZ,246421,126204,E02004223,E01020279
146096,Devon,Eden Park Academy,Primary,173,EX32 8EF,257204,132739,E02004184,E01020103
113249,Devon,Ermington Primary School,Primary,156,PL21 9NH,263809,53064,E02004196,E01020159
145339,Devon,Exbourne Church of England Primary School,Primary,66,EX20 3SQ,260259,101903,E02004229,E01020320
113095,Devon,Exeter Road Community Primary School,Primary,230,EX8 1PU,300251,81245,E02004147,E01019919
113201,Devon,Exminster Community Primary,Primary,391,EX6 8AJ,294408,87756,E02004202,E01020240
144072,Devon,Exwick Heights Primary School,Primary,620,EX4 2FB,290154,93344,E02004153,E01019984
113432,Devon,Farway Church of England Primary School,Primary,24,EX24 6EQ,317169,96394,E02004137,E01019901
113433,Devon,Feniton Church of England Primary School,Primary,208,EX14 3EA,309891,99428,E02004132,E01019925
113148,Devon,Filleigh Community Primary School,Primary,80,EX32 0RS,266587,128008,E02004187,E01020097
113149,Devon,Fremington Community Primary and Nursery School,Primary,412,EX31 3DD,250985,132283,E02004185,E01020105
141353,Devon,Gatehouse Primary Academy,Primary,370,EX7 0LW,296126,77679,E02004205,E01020229
113375,Devon,Georgeham Church of England (VC) Primary School,Primary,98,EX33 1JT,246244,139846,E02004178,E01020109
113376,Devon,Goodleigh Church of England Primary School,Primary,98,EX32 7LU,259839,134126,E02004180,E01020088
113377,Devon,Great Torrington Bluecoat Church of England Primary School,Primary,502,EX38 7NU,250028,119124,E02004225,E01020306
113250,Devon,Gulworthy Primary School,Primary,74,PL19 8JA,244733,72789,E02004232,E01020331
113338,Devon,Halberton Primary School,Primary,77,EX16 7AT,300548,112855,E02004169,E01020059
113151,Devon,Halwill Community Primary School,Primary,100,EX21 5XU,244589,99773,E02004228,E01020290
142707,Devon,Harbertonford Church of England Primary School,Primary,109,TQ9 7TA,278505,56367,E02004194,E01020143
113152,Devon,Hartland Primary School,Primary,118,EX39 6BP,226109,124548,E02004224,E01020292
113251,Devon,Hatherleigh Community Primary School,Primary,188,EX20 3JB,254128,104221,E02004229,E01020321
143187,Devon,Hawkchurch Church of England School,Primary,46,EX13 5XD,334664,99981,E02004133,E01019886
133893,Devon,Haytor View Community Primary School,Primary,209,TQ12 4BD,287567,71024,E02004214,E01020211
113069,Devon,Hayward's Primary School,Primary,397,EX17 3AX,283732,100054,E02004174,E01020041
113224,Devon,Hazeldown School,Primary,421,TQ14 8SE,293655,74689,E02004208,E01020265
113343,Devon,Heathcoat Primary School,Primary,419,EX16 5HE,295006,112303,E02004168,E01020078
137654,Devon,Hemyock Primary School,Primary,235,EX15 3RY,313408,113219,E02004166,E01020074
142709,Devon,Hennock Community Primary School,Primary,63,TQ13 9QB,283134,80815,E02004204,E01020223
144535,Devon,High Bickington Church of England Primary Academy,Primary,87,EX37 9AY,259969,120531,E02004226,E01020308
146248,Devon,Highampton Community Primary School,Primary,31,EX21 5LE,248803,104545,E02004229,E01020321
113210,Devon,Highweek Community Primary and Nursery School,Primary,341,TQ12 1TX,285476,71416,E02004215,E01020216
146254,Devon,Holbeton Primary School,Primary,36,PL8 1LT,261462,50160,E02004196,E01020159
113379,Devon,Holsworthy Church of England Primary School,Primary,281,EX22 6HD,234280,104224,E02004227,E01020294
145767,Devon,Holywell Church of England School,Primary,103,EX31 3HZ,255237,129812,E02004186,E01020122
113098,Devon,Honiton Primary School,Primary,440,EX14 1QF,316391,100946,E02004130,E01019933
113253,Devon,Horrabridge Primary & Nursery School,Primary,225,PL20 7SZ,251711,69571,E02004234,E01020342
113154,Devon,Horwood and Newton Tracey Community Primary School,Primary,111,EX31 3PU,252067,127432,E02004185,E01020119
143189,Devon,Ide Primary School,Primary,180,EX2 9RN,290024,90539,E02004201,E01020243
113381,Devon,Ilfracombe Church of England Junior School,Primary,450,EX34 9LW,251993,147357,E02004175,E01020111
113155,Devon,Ilfracombe Infant and Nursery School,Primary,360,EX34 8JL,251834,147153,E02004175,E01020111
136919,Devon,Ilsington Church of England Primary School,Primary,56,TQ13 9RE,278573,76191,E02004207,E01020237
113156,Devon,Instow Community Primary and Pre-School,Primary,135,EX39 4LU,248195,131093,E02004185,E01020119
113203,Devon,Ipplepen Primary School,Primary,179,TQ12 5QL,283499,66419,E02004219,E01020239
145768,Devon,Kenn Church of England Primary School,Primary,100,EX6 7TX,291626,86236,E02004202,E01020241
113357,Devon,Kentisbeare Church of England Primary School,Primary,152,EX15 2AD,306847,108246,E02004171,E01020056
113157,Devon,Kentisbury Primary School,Primary,44,EX31 4NG,262010,143392,E02004180,E01020127
145761,Devon,Kenton Primary School,Primary,100,EX6 8LX,295821,83246,E02004202,E01020245
113100,Devon,Kilmington Primary School,Primary,98,EX13 7RG,327296,97924,E02004135,E01019936
113158,Devon,Kings Nympton Community Primary School,Primary,49,EX37 9SP,268316,119279,E02004187,E01020097
113179,Devon,Kingsacre Primary School,Primary,213,EX33 1BQ,248189,136822,E02004179,E01020092
113205,Devon,Kingsbridge Community Primary School,Primary,384,TQ7 1NL,274059,44616,E02004198,E01020169
113398,Devon,Kingskerswell Church of England Primary School,Primary,396,TQ12 5HN,288387,68006,E02004218,E01020247
142670,Devon,Kingsteignton School,Primary,79,TQ12 3QY,286481,73917,E02004213,E01020256
141624,Devon,Kingswear Community Primary School,Primary,54,TQ6 0BJ,288498,51185,E02004192,E01020153
143185,Devon,Lady Modiford's Church of England Primary School,Primary,49,PL20 6JR,253297,69783,E02004234,E01020317
137642,Devon,Lady Seaward's Church of England Primary School,Primary,102,EX3 0RE,298312,88820,E02004142,E01019898
113080,Devon,Ladysmith Infant & Nursery School,Primary,325,EX1 2PS,293588,93058,E02004154,E01020009
113081,Devon,Ladysmith Junior School,Primary,348,EX1 2PT,293552,93124,E02004154,E01020009
113411,Devon,Lamerton Church of England Voluntary Controlled Primary School,Primary,49,PL19 8RJ,245016,76965,E02004232,E01020331
146093,Devon,Landkey Community Primary Academy,Primary,198,EX32 0LJ,259289,131142,E02004186,E01020121
113117,Devon,Landscore Primary School,Primary,301,EX17 3JH,282161,100360,E02004174,E01020061
142641,Devon,Landscove Church of England Primary School,Primary,90,TQ13 7LY,277434,66323,E02004190,E01020157
113160,Devon,Langtree Community School and Nursery Unit,Primary,103,EX38 8NF,245085,115707,E02004228,E01020301
137780,Devon,Lapford Community Primary School,Primary,69,EX17 6QE,273380,108466,E02004172,E01020073
144384,Devon,Lew Trenchard Church of England Primary School,Primary,106,EX20 4DP,245681,86777,E02004232,E01020325
113256,Devon,Lifton Community Primary School,Primary,118,PL16 0EH,238843,85193,E02004232,E01020340
113370,Devon,Littleham Church of England Primary School,Primary,180,EX8 2QY,302712,81311,E02004148,E01019914
137732,Devon,Littletown Primary Academy,Primary,448,EX14 2EG,316177,99812,E02004131,E01019929
113207,Devon,Loddiswell Primary School,Primary,104,TQ7 4BY,272142,48834,E02004194,E01020142
145332,Devon,Lydford Primary School,Primary,31,EX20 4AU,251409,85149,E02004231,E01020323
113358,Devon,Lympstone Church of England Primary School,Primary,169,EX8 5JY,299216,84290,E02004142,E01019965
113451,Devon,Lynton Church of England Primary School,Primary,67,EX35 6AF,272011,149334,E02004176,E01020126
113399,Devon,Malborough with South Huish Church of England Primary School,Primary,93,TQ7 3RN,270800,39785,E02004200,E01020172
113255,Devon,"Manor Primary School, Ivybridge",Primary,276,PL21 9BG,263196,56111,E02004193,E01020161
113465,Devon,Marldon Church of England Primary School,Primary,207,TQ3 1PD,286567,63175,E02004192,E01020170
113096,Devon,Marpool Primary School,Primary,461,EX8 3QW,301474,81928,E02004146,E01019922
113161,Devon,Marwood School,Primary,118,EX31 4HF,255086,138770,E02004180,E01020127
113264,Devon,Mary Tavy and Brentor Community Primary School,Primary,79,PL19 9PR,250680,79105,E02004234,E01020324
143192,Devon,Meavy Church of England Primary School,Primary,96,PL20 6PJ,254426,67124,E02004234,E01020317
142250,Devon,Membury Primary Academy,Primary,31,EX13 7AF,327648,102985,E02004129,E01019967
113258,Devon,Milton Abbot School,Primary,70,PL19 0PS,241036,78979,E02004232,E01020325
113335,Devon,Modbury Primary School,Primary,167,PL21 0RB,265666,51771,E02004196,E01020158
113162,Devon,Monkleigh Primary School,Primary,107,EX39 5JY,245732,120833,E02004224,E01020296
113082,Devon,Montgomery Primary School,Primary,401,EX4 1BS,291067,92112,E02004158,E01020029
113457,Devon,Morchard Bishop Church of England Primary School,Primary,102,EX17 6PJ,277276,107564,E02004173,E01020070
141285,Devon,Moretonhampstead Primary School,Primary,138,TQ13 8NA,275060,86319,E02004203,E01020258
141525,Devon,Mrs Ethelston's CofE Primary Academy,Primary,181,DT7 3TT,332449,93516,E02004135,E01019961
143182,Devon,Musbury Primary School,Primary,38,EX13 8BB,327532,94592,E02004135,E01019936
137012,Devon,Newport Community School Primary Academy,Primary,518,EX32 9BW,256968,132178,E02004184,E01020128
137664,Devon,Newton Ferrers Church of England Primary School,Primary,124,PL8 1AS,255182,48384,E02004197,E01020171
113103,Devon,Newton Poppleford Primary School,Primary,196,EX10 0EL,308649,89615,E02004141,E01019937
113104,Devon,Newton St Cyres Primary School,Primary,97,EX5 5DL,288107,98260,E02004173,E01020068
113083,Devon,Newtown Primary School,Primary,153,EX1 2BP,292891,92883,E02004156,E01019995
113163,Devon,North Molton School,Primary,92,EX36 3HL,273402,129602,E02004187,E01020131
145333,Devon,North Tawton Community Primary School and Nursery,Primary,224,EX20 2HB,266605,101611,E02004229,E01020326
145340,Devon,Northlew and Ashbury Parochial Church of England Primary School,Primary,38,EX20 3PB,250443,99084,E02004229,E01020322
113359,Devon,Offwell Church of England Primary School,Primary,79,EX14 9SA,319428,99576,E02004137,E01019901
145334,Devon,Okehampton Primary School and Foundation Unit,Primary,681,EX20 1JB,258547,95509,E02004230,E01020330
137644,Devon,Orchard Vale Community School,Primary,347,EX32 8QY,258329,132856,E02004184,E01020102
147496,Devon,Otterton Church of England Primary School,Primary,100,EX9 7HU,308034,85167,E02004141,E01019945
113105,Devon,Ottery St Mary Primary School,Primary,408,EX11 1HY,310447,95333,E02004136,E01019942
140695,Devon,Our Lady and St Patrick's Roman Catholic Primary School,Primary,210,TQ14 9DT,293097,73533,E02004210,E01020272
140739,Devon,"Our Lady's Catholic Primary School, Barnstaple",Primary,253,EX32 8DN,256594,133269,E02004182,E01020140
113164,Devon,Parkham Primary School,Primary,47,EX39 5PL,238695,121109,E02004224,E01020295
113382,Devon,Parracombe Church of England Primary School,Primary,34,EX31 4QJ,267098,144877,E02004176,E01020100
113360,Devon,Payhembury Church of England Primary School,Primary,100,EX14 3HT,308728,101684,E02004132,E01019960
138315,Devon,Pilton Bluecoat Church of England Academy,Primary,261,EX31 1JU,255489,133995,E02004181,E01020134
113128,Devon,Pilton Infants' School,Primary,178,EX31 1JU,255580,133948,E02004181,E01020134
113445,Devon,Pinhoe Church of England Primary School,Primary,423,EX4 8PE,296109,94459,E02004151,E01020003
113361,Devon,Plymtree Church of England Primary School,Primary,81,EX15 2JU,305354,102901,E02004132,E01019960
147494,Devon,Princetown Community Primary School,Primary,100,PL20 6QE,258929,73597,E02004231,E01020323
113495,Devon,Rackenford Church of England Primary School,Primary,53,EX16 8DU,285085,118165,E02004188,E01020138
142802,Devon,Redhills Community Primary School,Primary,277,EX4 2BY,290667,92489,E02004153,E01019985
145252,Devon,Rockbeare Church of England Primary School and Pre-School,Primary,85,EX5 2EQ,301939,94950,E02004134,E01019893
137528,Devon,Rydon Primary School,Primary,427,TQ12 3LP,287311,73848,E02004209,E01020250
137662,Devon,Salcombe Church of England Primary School,Primary,70,TQ8 8AG,273387,39106,E02004200,E01020172
137651,Devon,Sampford Peverell Church of England Primary School,Primary,111,EX16 7BR,302823,114275,E02004169,E01020045
113107,Devon,Sandford School,Primary,142,EX17 4NE,282908,102574,E02004173,E01020069
113108,Devon,Seaton Primary School,Primary,393,EX12 2HF,324384,90871,E02004138,E01019948
142803,Devon,Shaldon Primary School,Primary,210,TQ14 0DD,293158,72302,E02004211,E01020260
113262,Devon,Shaugh Prior Primary School,Primary,33,PL7 5HA,254335,63058,E02004189,E01020145
113166,Devon,Shebbear Community School,Primary,67,EX21 5SG,244194,109366,E02004228,E01020301
145907,Devon,Sherford Vale School,Primary,86,PL9 8FA,253908,53744,E02003151,E01015131
113167,Devon,Shirwell Community Primary School,Primary,50,EX31 4JT,259219,137202,E02004180,E01020127
113109,Devon,Shute Community Primary School,Primary,81,EX13 7QR,325346,97516,E02004135,E01019935
137649,Devon,Sidbury Church of England Primary School,Primary,158,EX10 0SB,313993,91766,E02004137,E01019951
143183,Devon,Sidmouth Church of England (VA) Primary School,Primary,510,EX10 9XB,312290,89054,E02004140,E01019958
113365,Devon,Silverton Church of England Primary School,Primary,113,EX5 4JY,295962,103225,E02004171,E01020071
137647,Devon,South Brent Primary School,Primary,188,TQ10 9JN,270019,60051,E02004190,E01020177
113168,Devon,South Molton Community Primary School,Primary,221,EX36 3BA,271036,126161,E02004187,E01020136
113454,Devon,South Molton United Church of England Primary School,Primary,188,EX36 4EN,271003,125153,E02004187,E01020135
145335,Devon,South Tawton Primary School,Primary,239,EX20 2LG,265099,93625,E02004231,E01020339
113139,Devon,Southmead School,Primary,347,EX33 2BU,249190,135985,E02004179,E01020089
139795,Devon,Sparkwell All Saints Primary School,Primary,97,PL7 5DD,257919,57694,E02004189,E01020149
113124,Devon,Spreyton School,Primary,30,EX17 5AJ,270047,96739,E02004231,E01020319
113479,Devon,St Andrew's Church of England Primary School,Primary,196,PL20 7NA,249002,68289,E02004235,E01020315
141527,Devon,St Andrew's CofE Primary Academy,Primary,110,EX13 7BJ,331204,104216,E02004133,E01019966
142183,Devon,St Andrew's Primary School,Primary,319,EX15 1HU,301871,107435,E02004170,E01020055
113463,Devon,St Catherine's CofE Primary School,Primary,181,TQ12 6SB,282865,75656,E02004207,E01020204
142559,Devon,St David's CofE Primary School,Primary,101,EX4 4EE,291571,92758,E02004156,E01020018
113456,Devon,St George's Church of England (VA) Infant and Nursery School,Primary,207,EX39 1HT,244766,129524,E02004220,E01020297
113165,Devon,St Giles-on-the-Heath Community School,Primary,98,PL15 9SD,236065,90633,E02004228,E01020286
145769,Devon,St Helen's Church of England School,Primary,207,EX39 5AP,242466,126449,E02004224,E01020295
145912,Devon,St James Church of England Primary and Nursery School,Primary,12,EX20 1GJ,259801,95875,E02004230,E01020327
140761,Devon,"St John the Baptist Roman Catholic Primary School, Dartmouth",Primary,68,TQ6 9HW,286451,50886,E02004195,E01020151
140762,Devon,St John's Catholic Primary School,Primary,175,EX16 5LB,294892,112822,E02004168,E01020078
140765,Devon,St Joseph's Catholic Primary School,Primary,140,TQ12 1PT,285169,71820,E02004212,E01020210
140766,Devon,"St Joseph's Catholic Primary School, Exmouth",Primary,183,EX8 1TA,300772,81026,E02004148,E01019912
142596,Devon,St Leonard's (CofE) Primary School (VC),Primary,591,EX2 4NQ,292683,91897,E02004157,E01020024
113453,Devon,St Margaret's Church of England (Aided) Junior School,Primary,242,EX39 1EL,244794,129366,E02004220,E01020297
113351,Devon,St Martin's CofE Primary & Nursery School,Primary,419,EX5 7DT,300298,95166,E02004134,E01019892
140772,Devon,"St Mary's Catholic Primary School, Axminster",Primary,124,EX13 5BE,330119,98317,E02004133,E01019889
140774,Devon,"St Mary's Catholic Primary School, Buckfast",Primary,97,TQ11 0EA,274042,67303,E02004217,E01020197
113385,Devon,St Mary's Church of England Primary School,Primary,415,EX39 2QN,245369,127424,E02004221,E01020300
113478,Devon,St Mary's Church of England Primary School,Primary,108,PL8 2AG,255213,52016,E02004197,E01020187
139818,Devon,St Michael's Church of England Primary Academy,Primary,417,EX1 2SN,293922,92652,E02004154,E01019989
113407,Devon,St Michael's Church of England Primary School,Primary,453,TQ12 3BQ,287028,73025,E02004209,E01020252
139394,Devon,St Nicholas Catholic Primary School,Primary,319,EX1 3EG,295323,92687,E02004159,E01020038
142045,Devon,St Peter's Church of England (VA) Junior School,Primary,141,PL19 9HW,248664,74354,E02004233,E01020335
113425,Devon,St Peter's Church of England Primary School,Primary,341,EX9 6QF,305816,82626,E02004145,E01019897
142164,Devon,St Rumon's Church of England (VC) Infants School,Primary,110,PL19 9EA,248361,74512,E02004233,E01020335
113442,Devon,St Sidwell's Church of England Primary School and Nursery,Primary,231,EX4 6PG,292524,93255,E02004152,E01020022
143191,Devon,St Thomas Primary School,Primary,188,EX2 9BB,291444,91741,E02004158,E01020032
147644,Devon,Starcross Primary School,Primary,100,EX6 8QD,297530,81636,E02004202,E01020244
146095,Devon,Sticklepath Community Primary Academy,Primary,453,EX31 2HH,254204,132478,E02004183,E01020123
137454,Devon,Stockland Church of England Primary Academy,Primary,107,EX14 9EF,324651,104455,E02004129,E01019938
113367,Devon,Stoke Canon Church of England Primary School and Pre-School,Primary,103,EX5 4AS,293971,97984,E02004134,E01019903
141286,Devon,Stoke Fleming Community Primary School,Primary,139,TQ6 0QA,285865,48524,E02004199,E01020175
142639,Devon,Stoke Gabriel Primary School,Primary,103,TQ9 6ST,284797,57202,E02004192,E01020156
113086,Devon,Stoke Hill Infants and Nursery School,Primary,310,EX4 7DB,293278,94066,E02004150,E01020000
113087,Devon,Stoke Hill Junior School,Primary,355,EX4 7DP,293293,94333,E02004149,E01019998
113222,Devon,Stokeinteignhead School,Primary,96,TQ12 4QE,291623,70421,E02004211,E01020261
113223,Devon,Stokenham Area Primary School,Primary,211,TQ7 2SJ,280318,42925,E02004199,E01020178
137963,Devon,Stowford School,Primary,436,PL21 0BG,264143,56456,E02004193,E01020163
113455,Devon,Swimbridge Church of England Primary School,Primary,106,EX32 0PJ,261771,130129,E02004180,E01020120
113265,Devon,Tavistock  Primary & Nursery School,Primary,384,PL19 8BX,247632,73771,E02004233,E01020334
145345,Devon,Tedburn St Mary School,Primary,87,EX6 6AA,281652,94076,E02004201,E01020263
136493,Devon,"Teignmouth Community School, Mill Lane",Primary,323,TQ14 9BB,292795,73734,E02004210,E01020272
113430,Devon,The Beacon Church of England (VA) Primary School,Primary,198,EX8 2SR,300138,80744,E02004147,E01019916
113340,Devon,The Castle Primary School,Primary,320,EX16 6QR,295764,112869,E02004168,E01020048
145844,Devon,The Clinton Church of England Primary School,Primary,23,EX20 3EQ,252688,111834,E02004226,E01020287
140078,Devon,The Duchy School Bradninch,Primary,200,EX5 4RF,299516,103489,E02004171,E01020043
113254,Devon,The Erme Primary School,Primary,115,PL21 0AJ,263571,56477,E02004193,E01020161
113234,Devon,The Grove School,Primary,305,TQ9 5ED,280205,60320,E02004191,E01020183
131108,Devon,The Topsham School,Primary,235,EX3 0DN,296295,88348,E02004163,E01033235
113368,Devon,Thorverton Church of England Primary School,Primary,84,EX5 5NR,292521,102050,E02004171,E01020044
144074,Devon,Thurlestone All Saints Church of England Academy,Primary,138,TQ7 3NB,267795,43181,E02004200,E01020179
143184,Devon,Tidcombe Primary School,Primary,217,EX16 4BP,297328,112357,E02004165,E01020051
113438,Devon,Tipton St John Church of England Primary School,Primary,89,EX10 0AG,308797,91815,E02004136,E01019940
146534,Devon,Totnes St John's Church of England Primary School,Primary,148,TQ9 5TZ,281037,60103,E02004191,E01020180
