store_name,postcode,sel,bng_e,bng_n,size_band
Tesco Barnstaple Superstore,EX32 8PG,1,257456.0007,132377.9994,50000
Tesco Braunton Superstore,EX33 2DU,1,248552.0007,135983.9994,8000
Co-op Braunton,EX33 2JL,1,248813.118,136498.8467,8000
Lidl Ilfracombe,EX34 8BS,1,251482.4607,147618.5594,8000
Tesco Ilfracombe Superstore,EX34 8PQ,1,252837.5807,146494.8794,25000
Co-op Ilfracombe,EX34 9QE,1,251583.234,147394.8624,8000
Sainsburys South Molton,EX36 4BQ,1,271721.0007,125632.9994,8000
Co-op Torrington,EX38 8AA,1,249532.9187,119058.8621,2000
Lidl Great Torrington,EX38 8BX,1,249023.2607,119324.5394,8000
M&S Great Torrington BP,EX38 8EJ,1,249746.5805,119305.6047,2000
Co-op Westward Ho!,EX39 1LH,1,243204.8504,129151.4372,2000
Tesco Golf Links Road Express,EX39 1LH,1,243249.4007,129319.7294,2000
Co-op Bideford,EX39 2JT,1,245407.987,126641.7535,8000
Morrisons Bideford,EX39 2LG,1,245335.0007,127132.9994,25000
Aldi Bideford,EX39 3FR,1,242943.8557,125752.5619,8000
Asda Bideford Superstore,EX39 3QU,1,243214.0107,125550.4394,50000
M&S Atlantic Village Bideford Outlet,EX39 3QU,1,243148.8307,125469.3594,8000
Lidl Bideford,EX39 3QU,1,243658.6407,125546.4794,25000
Tesco Bideford Superstore,EX39 4AJ,1,246575.6607,126582.4894,25000
M&S Exebridges Exeter SF,EX4 1AH,1,291555.5107,91907.0594,8000
Co-op Exeter - Cowick Street,EX4 1AJ,1,291301.3019,91983.95842,8000
Tesco Exeter Cowick Street Express,EX4 1HS,1,291134.6507,91849.6594,2000
Co-op Buddle Lane Exeter,EX4 1QT,1,290696.3507,92362.7794,2000
Tesco Exwick Express,EX4 2DQ,1,290684.5307,93015.4794,2000
Sainsburys Exeter,EX4 3HH,1,291879.7107,92651.9094,8000
M&S Exeter,EX4 3QA,1,292002.1307,92697.8594,8000
Tesco Exeter Metro,EX4 3RH,1,292040.0007,92729.9994,8000
Co-op Exeter - Queen Street,EX4 3SR,1,291775.6038,92998.87508,2000
Co-op Exeter - Pennsylvania Rd,EX4 6BP,1,292412.0714,93475.40159,2000
Co-op Exeter - Old Tiverton Road,EX4 6LG,1,292914.4039,93526.55258,2000
Iceland Exeter,EX4 6NN,1,292399.0407,92958.4494,8000
Sainsburys Exeter Sidwell Street Local,EX4 6NN,1,292363.4007,92927.0694,2000
Tesco Sidwell Street Express,EX4 6PJ,1,292649.6707,93189.8494,2000
Morrisons Whipton Exeter,EX4 7BY,1,294000.0007,93770.9994,25000
Aldi Whipton Exeter,EX4 8JD,1,295646.4207,93930.2994,8000
Co-op Cranbrook Younghayes Road,EX5 7EA,1,300238.3629,95169.37257,8000
Tesco Exminster Express,EX6 8DB,1,294453.5107,87654.9394,2000
Sainsburys Dawlish,EX7 0SB,1,296715.0007,78688.03939,25000
Co-op Dawlish,EX7 9PS,1,296230.6312,76753.06769,8000
M&S Exmouth Royal Avenue Foodhall,EX8 1EN,1,299979.2809,81142.30222,8000
Co-op Exmouth - Magnolia Walk,EX8 1HB,1,300164.4983,80945.10425,8000
Tesco Rolle Street Express,EX8 1HE,1,300097.2107,80923.84939,2000
Iceland Exmouth,EX8 1RH,1,300137.8707,81078.00939,8000
Budgens The Point Exmouth,EX8 2AZ,1,300310.6824,80267.47675,8000
Co-op Littleham Cross,EX8 2QG,1,301855.2732,81435.35526,2000
Tesco Exmouth Superstore,EX8 2TS,1,302080.4607,81817.20939,50000
Co-op 190b Exeter Road Exmouth,EX8 3EA,1,300382.3607,82311.63939,2000
Tesco Exmouth Churchill Road Express,EX8 4JJ,1,301590.7707,82853.74939,2000
Co-op Exmouth Brixington Parade,EX8 4JS,1,301703.5216,82809.32562,2000
Lidl Littleham Exmouth,EX8 4RZ,1,302392.0707,81939.41939,25000
Co-op Budleigh Salterton - High Street,EX9 6LD,1,306270.3286,81903.17767,2000
Co-op Petrol Launceston Western Road,PL15 7AU,1,232804.6754,84051.52636,2000
Budgens Bodmin Moor Services,PL15 7RR,1,224796.0025,80209.8623,2000
Co-op Launceston - Broad Street,PL15 8AE,1,233151.8207,84590.99938,2000
Budgens Greenaways,PL15 8DF,1,232858.5646,85149.1103,2000
Co-op Launceston,PL15 8EX,1,233107.5123,85093.3027,8000
Lidl Launceston,PL15 9DA,1,233444.0207,83500.36938,8000
Iceland Launceston,PL15 9DJ,1,233303.7739,83543.54501,8000
M&S Launceston Foodhall,PL15 9DJ,1,233329.9692,83510.36096,8000
Tesco Launceston Superstore,PL15 9HG,1,233616.0007,83760.99938,25000
Co-op Tavistock,PL19 0BJ,1,248348.4707,74662.52938,8000
Co-op Tavistock - Market Street,PL19 0DB,1,248041.4507,74516.98938,2000
Lidl Tavistock,PL19 9DS,1,248050.2307,73036.50938,8000
Morrisons Tavistock,PL19 9DS,1,247876.0007,73007.99938,25000
Tesco Tavistock Superstore,PL19 9QN,1,248096.2307,73140.33938,25000
Co-op Yelverton,PL20 6DT,1,252187.4015,67828.42241,8000
Co-op Bere Alston,PL20 7AD,1,244735.5777,66799.02722,2000
Co-op Modbury,PL21 0PY,1,265915.2781,51596.80177,2000
Tesco Ivy Bridge Express,PL21 0SZ,1,263676.2107,56213.09937,2000
Tesco Ivybridge Lee Mill Extra,PL21 9PE,1,260400.0007,55856.99937,50000
Co-op Ivybridge - Glanvilles Mill,PL21 9PS,1,263575.0007,56116.99937,8000
Co-op Ivybridge,PL21 9TF,1,262275.0007,56527.99937,2000
Farmfoods Honicknowle Plymouth,PL6 5DZ,1,248564.9007,58792.59937,8000
Co-op Fort Austin,PL6 5QA,1,250277.0069,57956.00555,2000
M&S Crownhill Plymouth SF,PL6 5US,1,249089.5307,59517.27937,8000
Co-op Plymouth - Frogmore Avenue,PL6 5XH,1,250216.015,57197.5906,2000
Aldi Southway Plymouth,PL6 6GB,1,249205.9344,61063.77627,8000
Co-op Plymouth - Southway,PL6 6QR,1,249129.478,61019.41983,8000
Lidl Woolwell Plymouth,PL6 7FG,1,250402.6407,61682.48937,8000
Tesco Plymouth Roborough Extra,PL6 7RF,1,250285.0007,61618.99937,50000
M&S Derriford Hospital,PL6 8DH,1,249905.3507,59498.59937,2000
Asda Plymouth Superstore,PL6 8TB,1,251082.1807,58730.89937,50000
Co-op Ridgeway,PL7 2AW,1,254076.0007,56234.99937,25000
Co-op Chaddlewood,PL7 2DE,1,256214.6882,56102.48794,8000
Tesco Plympton Express,PL7 2DY,1,254755.4607,56584.29937,2000
Iceland Plympton,PL7 2ZN,1,254227.0307,56178.26937,8000
Tesco Plympton St Mary Express,PL7 4JP,1,253679.7707,56417.20937,2000
Co-op Petrol Plympton,PL7 4NE,1,252857.0007,56597.99937,2000
Lidl Woodford Plympton,PL7 4NF,1,252799.723,56506.86616,8000
Co-op Newton Ferrers,PL8 1BG,1,254894.6854,48068.51049,2000
Co-op Petrol Staddiscombe,PL9 0DF,1,252409.3311,52210.60923,2000
Iceland Plymstock,PL9 7AU,1,251349.1607,53191.95936,8000
Morrisons Elburton Plymstock,PL9 7BH,1,250870.4807,53902.98936,50000
Co-op Elburton,PL9 8EN,1,253129.0007,53043.99936,2000
Lidl Elburton Plymstock,PL9 9BU,1,251481.0507,53310.14936,8000
Co-op Wellington - Fore Street,TA21 8AQ,1,313914.6604,120572.6581,8000
Waitrose Wellington,TA21 8RD,1,314111.8407,120676.7094,8000
Asda Wellington Supermarket,TA21 8RQ,1,313922.9907,120797.3494,8000
Budgens Chelston Heathfield,TA21 9AD,1,315504.8326,120738.135,8000
Tesco Torquay Metro,TQ1 1DB,1,291764.8607,63883.56938,8000
Co-op Wellswood - Ilsham Road,TQ1 2JG,1,293197.601,64078.54943,2000
Tesco Torquay Babbacombe Road Express,TQ1 3SN,1,292530.5507,65432.71938,2000
Iceland Torquay,TQ1 3UT,1,291552.8407,64189.56938,8000
Tesco Torquay Lymington Express,TQ1 4AQ,1,291366.1807,64449.32938,2000
Sainsburys Torquay St Marychurch Road Local,TQ1 4LY,1,292032.4907,65758.78938,2000
Co-op St Marychurch,TQ1 4LY,1,292045.0007,65784.99938,2000
Tesco Torquay Teignmouth Road Esso Express,TQ1 4RY,1,291149.2607,65869.60938,2000
Co-op South Brent,TQ10 9AB,1,269758.9505,60118.5993,2000
Co-op Buckfastleigh,TQ11 0AB,1,273865.0256,66106.79918,2000
Sainsburys Newton Abbot,TQ12 1BN,1,287123.2307,70474.07938,25000
Sainsburys Newton Abbot East Street Local,TQ12 1GJ,1,286138.1307,71111.21938,2000
Asda Newton Abbot Superstore,TQ12 1TG,1,285651.3707,71303.42938,50000
M&S Newton Abbot Food Outlet,TQ12 2DT,1,285869.5007,71198.83938,8000
Iceland Newton Abbot,TQ12 2QH,1,285929.0407,71303.06938,8000
Tesco Kingsteignton Express,TQ12 3AJ,1,286974.0607,73041.96938,2000
Lidl Kingsteignton,TQ12 3AQ,1,286916.5307,72961.66938,8000
Tesco Newton Abbot Kingsteignton Superstore,TQ12 3RN,1,286577.0007,72461.99938,50000
Co-op Kingsteignton,TQ12 3YR,1,287219.2893,74005.03537,2000
Co-op Buckland,TQ12 4BG,1,287546.1237,70961.27003,2000
Aldi Newton Abbot,TQ12 4PY,1,286786.2698,70947.50286,8000
Co-op Kingskerswell,TQ12 5HT,1,287991.6562,67769.74758,2000
Co-op Ipplepen,TQ12 5RH,1,283594.6823,66637.49054,2000
Co-op Trago Mills,TQ12 6JD,1,282326.1319,74558.29773,8000
M&S Bovey Straights BP,TQ12 6SJ,1,282555.3007,75882.24939,2000
Co-op Chudleigh,TQ13 0HL,1,286793.8262,79612.26687,2000
Co-op Ashburton,TQ13 7QD,1,275574.3496,69916.46443,2000
Co-op Moretonhampstead,TQ13 8NE,1,275275.9776,86061.99939,2000
Tesco Bovey Tracey Express,TQ13 9AB,1,281586.0907,78464.23939,2000
Co-op Bovey Tracey - Fore Street,TQ13 9AF,1,281489.2859,78248.31037,2000
Co-op Petrol Bovey Tracey,TQ13 9DX,1,281735.167,77000.28101,2000
Co-op Bank Street - Teignmouth,TQ14 8AL,1,294068.8087,72886.62381,8000
Tesco Teignmouth Bitton Road Express,TQ14 9DD,1,293315.1307,73128.72939,2000
Morrisons Teignmouth,TQ14 9WP,1,292548.7843,73185.35045,25000
Co-op Chelston - Torquay,TQ2 6HP,1,290378.0007,63719.99938,2000
Co-op Torquay - Roundhill Road,TQ2 6TH,1,289606.1128,62853.14811,2000
Lidl Shiphay Torquay,TQ2 7AJ,1,289833.8407,66245.83938,8000
Asda Torquay Supermarket,TQ2 7AN,1,290219.5607,65674.02938,25000
Co-op Shiphay,TQ2 7HP,1,289280.3048,65629.92024,2000
Sainsburys Torquay,TQ2 7HT,1,289794.0007,66469.99938,50000
Farmfoods Hele Torquay,TQ2 7PX,1,290763.4907,66176.88938,8000
M&S Torbay,TQ2 7XA,1,289811.5007,66672.60938,25000
Co-op Barton,TQ2 8HN,1,290904.6542,66895.67829,2000
Tesco Barton Express,TQ2 8HW,1,290901.5707,66919.45938,2000
Budgens Marldon,TQ3 1NA,1,287028.0044,62611.59746,8000
Tesco Paignton Express,TQ3 2HQ,1,289338.7407,61828.95938,2000
Sainsburys Paignton Torquay Road Local,TQ3 2HW,1,289052.7707,61638.27938,2000
Co-op Palace Avenue,TQ3 3EW,1,288498.6655,60703.97112,8000
Co-op Foxholes,TQ3 3SS,1,287567.1644,61250.33699,2000
Tesco Paignton Express,TQ4 5DL,1,288766.4107,60705.35938,8000
Iceland Paignton,TQ4 5DN,1,288831.5507,60692.90938,8000
Co-op Waterside,TQ4 6NF,1,289177.0601,58713.86482,2000
Lidl Paignton,TQ4 6PE,1,289048.6407,60761.60938,8000
Aldi Goodrington Paignton,TQ4 7BD,1,287418.9102,58893.52014,8000
Asda Paignton Supermarket,TQ4 7EP,1,287284.1907,59447.96937,25000
Morrisons Paignton,TQ4 7ET,1,287521.0007,59737.99937,50000
Co-op Paignton - Hookhills Road,TQ4 7LY,1,288857.453,57989.61743,8000
Sainsburys Paignton,TQ4 7PE,1,287229.1607,59112.94937,50000
Lidl Goodrington Paignton,TQ4 7RZ,1,287929.6593,58181.23607,8000
Iceland Paignton Food Warehouse,TQ4 7TQ,1,287805.6192,58437.12865,8000
Co-op Brixham Fore Street,TQ5 8AG,1,292571.4819,56142.64091,2000
Co-op Brixham,TQ5 8DS,1,292403.9153,56049.06423,2000
Tesco Brixham Fore Street Express,TQ5 8DX,1,292427.0007,56071.99937,2000
Sainsburys Brixham New Road Local,TQ5 8NJ,1,291926.5034,55834.65076,2000
Co-op Brixham Great Rea,TQ5 9SW,1,292907.123,55988.90499,2000
Co-op Dartmouth - Fairfax Place,TQ6 9AB,1,287823.9595,51267.66108,8000
Sainsburys Dartmouth,TQ6 9AH,1,286024.0007,50959.99937,25000
Lidl Dartmouth,TQ6 9LW,1,286214.1807,50916.88937,8000
M&S Dartmouth SF,TQ6 9NF,1,287787.6707,51545.45937,8000
Co-op Petrol Kingsbridge,TQ7 1EB,1,273420.1707,44047.56904,2000
Tesco Kingsbridge Superstore,TQ7 1QN,1,273307.7107,44393.52936,25000
Morrisons Kingsbridge,TQ7 1TP,1,273128.0007,44167.99936,8000
Co-op Petrol Malborough,TQ7 3BU,1,270963.5371,39829.8153,2000
Co-op Salcombe - Gould Road,TQ8 8DU,1,273866.9392,39296.41159,2000
Morrisons Totnes,TQ9 5DF,1,280612.5007,60577.98937,25000
